id,ID PUNTO,note,LATITUDINE,LONGITUDIN,QUOTA,SPECIE,NOME VOLG,natural_monument:criteria,AL IS - H,AL IS - C
2048,001/L881/AL/01,,45.01038,8.396314,300,Cedrus atlantica (Endl.) Manetti ex Carrière,Cedro dell'Atlante,circumference;shape;plant_architecture,23,4.05
2049,001/M120/AL/01,,44.884583,9.0077,303,Quercus pubescens Willd.,Roverella,age;shape,15,3.15
2050,001/A479/AT/01,,44.899421,8.197792,130,Platanus acerifolia (Aiton) Willd.,Platano comune,circumference;plant_architecture;historic,37,5.2
2051,001/A812/AT/01,,45.099569,7.960719,413,Quercus pubescens Willd.,Roverella,shape;landscape,17,3.2
2052,001/B306/AT/01,,45.017911,7.940889,286,Quercus robur L.,Farnia,age;circumference;shape,22.5,4.6
2053,002/B991/AT/01,,45.004917,8.323092,188,Morus alba L.,Gelso bianco,shape;landscape,7,2.4
2054,001/B991/AT/01,,45.023609,8.333797,284,Aesculus hippocastanum L.,Ippocastano,age;circumference;landscape;historic,18,4.0
2055,001/C807/AT/01,,45.085539,8.081033,336,Ulmus minor Mill.,Olmo campestre,age;circumference;landscape,23,3.6
2056,001/D051/AT/01,,45.014893,8.088941,289,Celtis australis L.,Bagolaro,age;circumference,25,3.6
2057,001/D554/AT/01,,44.879467,7.983149,278,Castanea sativa Mill.,Castagno,age;circumference,15,6.5
2058,001/D678/AT/01,,44.758138,8.421677,207,Salix alba L.,Salice bianco,circumference,17,5.3
2059,001/H468/AT/01,,44.86,8.324444,140,Fagus sylvatica L.,Faggio,rarity,25,3.15
2060,002/H468/AT/01,,44.869076,8.324901,150,Juniperus virginiana L.,Ginepro virginiano,circumference;plant_architecture;landscape,14,2.9
2061,001/A859/BI/01,,45.562706,8.055952,398,Cedrus atlantica (Endl.) Manetti ex Carrière,Cedro dell'Atlante,circumference;shape;plant_architecture,25.5,4.5
2062,002/A859/BI/01,,45.562759,8.055154,410,Cedrus deodara (D.Don) G.Don,Cedro dell'Himalaya,circumference;plant_architecture,37.5,6.7
2063,004/A859/BI/01,,45.576111,8.06,451,Quercus robur L.,Farnia,age;circumference;shape;plant_architecture,25,5.75
2064,003/A859/BI/01,,45.563218,8.055941,400,Aesculus hippocastanum L.,Ippocastano,circumference;plant_architecture,30,3.8
2065,001/A876/BI/01,,45.615544,8.141899,650,Castanea sativa Mill.,Castagno,age;circumference;plant_architecture,14,2.7
2066,002/A876/BI/01,,45.615261,8.138994,634,Tilia platyphyllos Scop.,Tiglio nostrale,age;circumference;shape;plant_architecture,35,6.2
2067,002/G798/BI/01,,45.584567,8.009131,622,Ilex aquifolium L.,Agrifoglio,age;circumference,18,2.37
2069,001/L933/BI/01,,45.622394,8.273461,337,"Quercus petraea subsp. austrotyrrhenica Brullo, R.Guarino & Siracusa",Rovere,circumference;shape,33,4.95
2070,001/A124/CN/01,,44.69719,8.032429,175,Fagus sylvatica L. cv. asplenifolia,Faggio a foglie di asplenio,age;circumference;crown;historic,13,2.3
2072,001/A555/CN/01,,44.273036,8.082536,980,Acer platanoides L.,Acero riccio,shape,29,2.28
2073,002/B111/CN/01,,44.695766,7.855241,280,Aesculus hippocastanum L.,Ippocastano,circumference,20,3.2
2074,001/B111/CN/01,,44.712579,7.840379,310,Zelkova carpinifolia (Pall.) K. Koch,Olmo del Caucaso,circumference;crown;rarity,38,7.15
2075,003/B111/CN/01,,44.700884,7.852056,296,Tamarix  gallica L.,Tamerice comune,circumference;rarity,5.6,2.98
2076,003/B175/CN/01,,44.150378,7.722181,1503,Acer pseudoplatanus L.,Acero di monte,shape,22,1.35
2077,002/B175/CN/01,,44.151069,7.738593,1560,Sorbus aucuparia L.,Sorbo degli uccellatori,age;shape,10,2.46
2078,001/B175/CN/01,,44.14836,7.730635,1379,Sorbus aria (L.) Crantz,Sorbo montano,age;height;shape,20,1.9
2079,001/C081/CN/01,,44.613075,7.078228,2018,Pinus cembra L.,Pino cembro,age;circumference,18,3.6
2080,004/C376/CN/01,,44.708593,7.68581,283,Taxodium distichum (L.) Rich,Cipresso calvo,age;circumference;historic,30,4.9
2081,002/C376/CN/01,,44.712222,7.685833,280,Quercus robur L.,Farnia,age;circumference,28,3.8
2082,001/C376/CN/01,,44.699939,7.705328,292,Aesculus hippocastanum L.,Ippocastano,age;circumference;crown;plant_architecture,23,4.4
2083,003/C376/CN/01,,44.711561,7.731023,290,Platanus acerifolia (Aiton) Willd.,Platano comune,age;circumference;plant_architecture,33,6.2
2085,002/C653/CN/01,,44.203062,7.64751,1268,Abies alba Mill.,Abete bianco,age;circumference,36.5,4.33
2086,003/C653/CN/01,,44.246317,7.674027,1112,Castanea sativa Mill.,Castagno,age;circumference;shape,18,1.6
2087,001/C653/CN/01,,44.240676,7.66305,871,Pinus strobus L.,Pino strobo,age;circumference;height;shape;rarity;historic,38,6.05
2088,001/D271/CN/01,,44.295469,7.285509,1164,Ulmus glabra Huds.,Olmo montano,age;circumference;plant_architecture,13,6.25
2089,001/D314/CN/01,,44.52925,7.947852,304,Aesculus hippocastanum L.,Ippocastano,age;circumference;landscape;historic,26,4.4
2090,001/D372/CN/01,,44.466744,7.366165,620,Aesculus hippocastanum L.,Ippocastano,circumference;crown,24,3.52
2091,001/D401/CN/01,,44.543192,7.079064,1562,Fraxinus excelsior L.,Frassino maggiore,age;circumference;landscape;historic,16.5,3.2
2092,001/D410/CN/01,,44.176191,7.389413,1251,Fagus sylvatica L.,Faggio,age;circumference;shape;historic,26,5.2
2093,001/D499/CN/01,,44.502353,7.910024,250,Quercus pubescens Willd.,Roverella,age;circumference;crown,18,4.1
2094,002/D499/CN/01,,44.509227,7.924398,344,Quercus pubescens Willd.,Roverella,age;circumference,28,4.8
2095,001/D920/CN/01,,44.236243,7.906741,992,Abies alba Mill.,Abete bianco,age;circumference;height;historic,40,4.52
2096,001/E597/CN/01,,44.191228,7.579833,1256,Fagus sylvatica L.,Faggio,age;circumference,30,5.65
2097,001/F114/CN/01,,44.5625,7.297222,872,Castanea sativa Mill.,Castagno,age;circumference;height;rarity,32,9.6
2098,001/F279/CN/01,,44.326737,7.362016,1100,Castanea sativa Mill.,Castagno,age;circumference,22.5,4.85
2099,001/F608/CN/01,,44.39691,7.310293,583,Castanea sativa Mill.,Castagno,circumference,27,6.1
2100,001/F654/CN/01,,44.793012,7.917475,336,Castanea sativa Mill.,Castagno,age;circumference,18.5,9.7
